,number,point_2_x,point_2_y,point_l_x,point_l_y,speed
0,11001,911.5734252929688,432.2389526367188,893.5313720703125,434.3127136230469,37.2807426
1,11002,912.3505859375,431.8856201171875,894.3268432617188,433.9529724121094,7.75295368152882
2,11003,912.8601684570312,432.4001159667969,894.7999267578125,434.49359130859375,10.241564364818176
3,11004,913.3350830078124,432.0895080566406,895.35205078125,434.14453125,13.183911277550662
4,11005,914.3314819335938,431.86798095703125,896.342529296875,433.8880920410156,15.972828302318351
5,11006,915.1072998046876,432.3818664550781,897.0673217773438,434.3680114746094,18.54073306350385
6,11007,915.6304321289062,431.73968505859375,897.6629638671875,433.6971740722656,20.996336139343672
7,11008,916.1563720703124,431.3870849609375,898.2119140625,433.2801208496094,23.300348777095746
8,11009,917.0,431.0,899.0,431.0,25.425100619835696
9,11010,917.6096801757812,431.1417846679688,899.7058715820312,433.080810546875,27.413535652536716
10,11011,917.9774780273438,431.1270446777344,900.1248779296875,433.00439453125,29.204622720081392
11,11012,918.4623413085938,431.3899841308594,900.5765380859375,433.2632141113281,30.96542452306796
12,11013,919.038330078125,430.8830261230469,901.0870971679688,432.7890319824219,32.75465103446747
13,11014,919.6448974609376,431.1492919921875,901.5716552734376,433.1441345214844,34.34116475419086
14,11015,920.2308959960938,431.09747314453125,901.765983581543,434.3372802734375,35.86416376246639
15,11016,1300.912841796875,398.1183471679688,1284.88916015625,399.65032958984375,37.44339319517814
16,11017,1303.7249755859375,398.0506896972656,1287.9246826171875,399.3303527832031,38.841535218533906
17,11018,1306.6339111328125,397.58050537109375,1290.94140625,398.7334899902344,40.13649082647055
18,11019,1309.6341552734375,396.8892211914063,1293.7554931640625,398.0719909667969,41.4273871659699
19,11020,1312.6298828125,396.5364074707031,1296.579345703125,397.84600830078125,42.68969861286227
20,11021,1315.84423828125,395.5085144042969,1299.640869140625,396.8427734375,43.882919534815976
21,11022,1318.96240234375,394.7593078613281,1302.66162109375,396.1427917480469,44.903356750433865
22,11023,1321.8084716796875,394.4821472167969,1305.629638671875,395.8377990722656,45.81773704204674
23,11024,1324.88525390625,393.8771667480469,1308.568603515625,395.231201171875,46.76864700058052
24,11025,1327.7242431640625,393.29876708984375,1311.4822998046875,394.6007690429688,47.86714531259066
25,11026,1330.8868408203125,392.73095703125,1314.142333984375,394.2993774414063,48.79943077340904
26,11027,1334.0860595703125,392.1042175292969,1317.461181640625,393.4596557617188,49.76777801801485
27,11028,1337.275634765625,391.6549682617188,1320.5863037109375,392.9261474609375,50.52085194034356
28,11029,1340.230712890625,391.0864562988281,1323.7781982421875,392.4342956542969,51.37480756591477
29,11030,1343.31640625,390.5052795410156,1326.712158203125,391.7106018066406,52.26352453711504
30,11031,1346.501953125,390.1026306152344,1329.8089599609375,391.0154724121094,53.02499016471959
31,11032,1349.7572021484375,388.6734924316406,1333.0655517578125,389.8781127929688,53.69976261348693
32,11033,1352.8809814453125,387.685546875,1336.063232421875,389.1960144042969,54.49290717017674
33,11034,1356.275390625,386.905517578125,1339.3729248046875,388.0151672363281,55.135114273200024
34,11035,1359.4571533203125,386.176025390625,1342.556884765625,387.0221862792969,55.81701841754289
35,11036,1362.558837890625,385.5967102050781,1345.57861328125,386.683837890625,56.44264580546479
36,11037,1365.741455078125,384.48333740234375,1348.4942626953125,385.9653930664063,57.11618234202282
37,11038,1368.6278076171875,383.6228942871094,1351.164306640625,385.2638244628906,57.80695034261268
38,11039,1371.640380859375,382.8595886230469,1354.0489501953125,384.5498352050781,58.47558644266021
39,11040,1374.9505615234375,381.9948120117188,1357.5826416015625,383.3569641113281,59.048016075231885
40,11041,1377.9578857421875,381.2781677246094,1360.544677734375,382.6100769042969,59.63617280061066
41,11042,1380.80517578125,380.2431335449219,1363.352783203125,381.8970031738281,60.20177916324686
42,11043,1383.7486572265625,379.08038330078125,1366.1510009765625,380.7929382324219,60.71214213192524
43,11044,1386.8692626953125,378.6094665527344,1369.0819091796875,380.0125732421875,61.30289551687749
44,11045,1389.9942626953125,377.5950927734375,1372.5010986328125,378.71881103515625,378.71881103515625
45,11046,1392.9493408203125,376.3812561035156,1375.5181884765625,377.560791015625,377.560791015625
46,11047,1395.89404296875,375.59320068359375,1378.9415283203125,375.1036376953125,375.1036376953125
47,11048,1399.1669921875,374.239501953125,1381.312255859375,375.570068359375,375.570068359375
48,11049,1402.42333984375,373.562255859375,1384.391357421875,374.5851440429688,374.5851440429688
49,11050,1405.3857421875,372.7257690429688,1387.630615234375,373.46368408203125,373.46368408203125
