,number,l_p_l_lo_x,l_p_l_lo_y,l_p_l_re_x,l_p_l_re_y,l_p_r_lo_x,l_p_r_lo_y,l_p_r_re_x,l_p_r_re_y,l_h_l_x,l_h_l_y,l_h_r_x,l_h_r_y,r_p_l_lo_x,r_p_l_lo_y,r_p_l_re_x,r_p_l_re_y,r_p_r_lo_x,r_p_r_lo_y,r_p_r_re_x,r_p_r_re_y,r_h_l_x,r_h_l_y,r_h_r_x,r_h_r_y,3d_p_x,3d_p_y,3d_p_z,3d_h_l_x,3d_h_l_y,3d_h_l_z,3d_h_r_x,3d_h_r_y,3d_h_r_z
0,1,1350.91,380.55,1347.23,387.08,1370.25,378.95,1368.01,385.29,318.66,689.73,2115.33,557.07,1384.11,448.29,1384.11,448.29,1401.06,449.13,1402.31,449.8,302.4,631.78,2191.44,721.18,649.51,4199.06,3464.82,-246.61,4489.09,3401.05,1265.73,4317.13,3229.74
0,2,1346.24,386.84,1346.24,386.84,1366.97,385.14,1366.97,385.14,318.56,689.74,2115.15,556.59,1385.65,446.9,1385.65,446.9,1395.88,447.33,1401.39,449.7,302.44,631.75,2191.96,720.89,650.3,4198.78,3469.14,-246.62,4489.13,3401.42,1266.69,4316.72,3231.57
0,3,1345.17,386.7,1345.17,386.7,1365.82,385.15,1365.82,385.15,318.31,689.93,2114.87,556.25,1382.01,448.61,1377.24,447.44,1399.63,449.43,1400.48,449.47,302.7,632.09,2192.14,720.61,644.99,4199.17,3458.77,-246.59,4489.35,3402.84,1267.23,4316.43,3232.89
0,4,1344.21,386.53,1344.21,386.53,1364.8,384.95,1364.8,384.95,318.55,689.6,2115.32,556.14,1381.29,449.38,1381.29,449.38,1399.29,449.19,1399.29,449.19,302.57,631.98,2191.38,720.38,647.16,4198.78,3466.38,-246.57,4489.03,3401.83,1265.61,4316.32,3229.63
0,5,1343.34,386.43,1343.34,386.43,1363.69,384.98,1363.69,384.98,318.93,689.43,2115.19,556.05,1380.59,449.22,1380.59,449.22,1398.02,448.81,1398.02,448.81,303.21,631.83,2191.86,720.31,646.35,4198.78,3466.7,-246.17,4488.93,3402.63,1266.49,4316.24,3231.24
0,6,1342.25,386.28,1342.25,386.28,1362.65,384.91,1362.65,384.91,318.67,689.49,2115.19,555.64,1379.74,449.01,1379.74,449.01,1397.28,448.69,1397.28,448.69,302.98,631.66,2191.64,720.09,645.81,4198.7,3467.87,-246.36,4488.99,3402.65,1266.12,4315.89,3230.67
0,7,1341.33,386.07,1341.33,386.07,1361.58,384.89,1361.58,384.89,318.91,689.04,2115.17,555.37,1376.34,447.62,1376.34,447.62,1396.23,448.44,1396.23,448.44,303.1,631.73,2191.75,719.87,643.46,4198.78,3464.45,-246.25,4488.62,3402.34,1266.31,4315.66,3231.02
0,8,1340.48,386.0,1340.48,386.0,1360.66,384.96,1360.66,384.96,318.96,689.34,2114.99,555.05,1375.1,446.91,1375.1,446.91,1395.18,448.2,1395.18,448.2,303.26,631.38,2191.87,719.98,642.41,4198.84,3463.96,-246.14,4488.86,3402.67,1266.64,4315.39,3231.83
0,9,1339.47,385.57,1339.47,385.57,1359.61,384.69,1359.61,384.69,318.75,689.15,2114.77,554.59,1373.1,446.04,1373.1,446.04,1394.23,447.9,1394.23,447.9,303.22,631.56,2191.62,719.94,641.0,4198.63,3462.93,-246.24,4488.74,3403.15,1266.44,4315.0,3231.9
0,10,1338.4,385.45,1338.4,385.45,1358.55,384.62,1358.55,384.62,318.42,688.89,2114.78,554.2,1370.0,445.8,1370.0,445.8,1393.11,447.59,1393.11,447.59,302.56,631.45,2191.85,719.38,638.84,4198.71,3460.13,-246.65,4488.5,3402.16,1266.78,4314.66,3232.44
0,11,1337.49,385.23,1337.49,385.23,1357.63,384.46,1357.63,384.46,318.49,688.7,2114.71,553.77,1374.71,445.8,1365.97,445.52,1391.66,446.7,1392.16,447.37,302.19,631.36,2191.64,718.81,636.14,4198.76,3455.68,-246.8,4488.29,3400.93,1266.51,4314.29,3232.14
0,12,1334.93,384.39,1334.93,384.39,1356.72,384.32,1356.72,384.32,319.4,688.3,2114.39,553.5,1374.07,438.63,1374.07,438.63,1391.05,439.04,1397.89,444.89,302.33,631.58,2191.7,718.52,645.35,4197.41,3482.4,-246.45,4487.86,3398.89,1266.9,4314.07,3233.27
0,13,1335.68,384.8,1335.68,384.8,1355.74,384.05,1355.74,384.05,318.7,688.62,2114.12,553.39,1374.0,438.0,1374.0,438.0,1390.2,447.04,1390.2,447.04,302.45,631.04,2191.93,718.53,640.6,4197.9,3471.0,-246.62,4488.23,3401.11,1267.51,4313.98,3234.65
0,14,1334.58,384.94,1334.58,384.94,1354.85,383.87,1354.85,383.87,318.93,688.03,2114.36,553.58,1373.0,438.0,1373.0,438.0,1389.42,447.09,1389.42,447.09,301.94,631.07,2191.69,718.53,639.91,4197.92,3471.64,-246.79,4487.67,3399.05,1266.93,4314.14,3233.34
0,15,1333.51,385.02,1333.51,385.02,1353.97,383.75,1353.97,383.75,318.83,688.02,2114.1,553.53,1372.0,438.0,1372.0,438.0,1388.34,447.25,1388.34,447.25,302.27,631.6,2191.84,718.6,639.02,4197.95,3471.75,-246.68,4487.72,3400.23,1267.39,4314.1,3234.49
0,16,1332.72,384.98,1332.72,384.98,1353.11,383.68,1353.11,383.68,319.51,687.49,2114.13,553.69,1372.0,438.0,1372.0,438.0,1387.43,447.24,1387.43,447.24,303.59,630.44,2191.45,718.48,638.79,4197.89,3473.13,-245.9,4487.38,3402.13,1266.77,4314.24,3233.44
0,17,1331.79,385.16,1331.79,385.16,1352.23,383.7,1352.23,383.7,319.12,687.68,2114.28,553.95,1371.0,438.0,1371.0,438.0,1386.5,447.04,1386.5,447.04,303.29,631.25,2190.94,718.47,637.98,4198.02,3473.23,-246.15,4487.55,3402.37,1265.83,4314.47,3231.7
0,18,1330.96,384.94,1330.96,384.94,1351.31,383.49,1351.31,383.49,318.53,687.83,2114.2,553.82,1370.0,438.0,1370.0,438.0,1385.6,446.9,1385.6,446.9,302.48,631.0,2191.25,718.78,637.15,4197.88,3473.27,-246.7,4487.64,3401.66,1266.38,4314.35,3232.71
0,19,1330.18,385.1,1330.18,385.1,1350.59,383.56,1350.59,383.56,319.45,687.05,2114.28,553.89,1360.1,444.66,1360.1,444.66,1384.78,446.7,1384.78,446.7,304.48,629.68,2191.2,718.65,630.88,4198.53,3459.56,-245.55,4487.16,3404.84,1266.24,4314.41,3232.37
0,20,1329.18,384.87,1329.18,384.87,1349.54,383.46,1349.54,383.46,319.45,687.09,2114.38,553.53,1369.0,438.0,1369.0,438.0,1383.76,446.38,1383.76,446.38,305.32,627.52,2191.58,718.5,636.12,4197.86,3474.9,-245.18,4487.31,3407.17,1266.72,4314.1,3233.0
0,21,1328.28,384.79,1328.28,384.79,1348.57,383.45,1348.57,383.45,319.95,686.95,2113.83,553.21,1368.0,437.0,1368.0,437.0,1382.67,445.93,1382.67,445.93,303.09,626.84,2191.73,718.52,635.21,4197.87,3474.86,-246.0,4486.83,3399.48,1267.48,4313.83,3235.07
0,22,1327.51,384.71,1327.51,384.71,1347.76,383.49,1347.76,383.49,319.06,687.13,2114.15,553.38,1368.0,437.0,1368.0,437.0,1381.71,445.59,1381.71,445.59,302.65,627.06,2191.54,718.5,634.94,4197.85,3476.06,-246.48,4487.04,3400.66,1266.88,4313.97,3233.62
0,23,1326.7,384.65,1326.7,384.65,1346.82,383.56,1346.82,383.56,319.2,686.54,2114.28,553.45,1367.0,437.0,1367.0,437.0,1380.82,445.38,1380.82,445.38,301.26,627.49,2191.83,718.67,634.13,4197.91,3476.11,-247.07,4486.38,3396.36,1267.2,4314.02,3233.91
0,24,1325.65,384.69,1325.65,384.69,1345.79,383.72,1345.79,383.72,319.33,686.61,2114.03,553.37,1366.0,437.0,1366.0,437.0,1379.66,445.11,1379.66,445.11,302.93,626.98,2191.62,718.58,633.22,4198.04,3476.32,-246.29,4486.63,3400.74,1267.11,4313.96,3234.15
0,25,1324.83,384.57,1324.83,384.57,1344.89,383.7,1344.89,383.7,319.38,686.54,2113.96,553.56,1366.0,437.0,1366.0,437.0,1378.79,445.12,1378.79,445.12,304.2,627.2,2191.61,718.56,633.03,4197.97,3477.88,-245.72,4486.74,3404.18,1267.18,4314.13,3234.36
0,26,1324.0,384.67,1324.0,384.67,1344.17,383.86,1344.17,383.86,319.73,686.32,2114.62,553.81,1365.0,437.0,1365.0,437.0,1377.93,445.13,1377.93,445.13,305.43,627.98,2191.44,718.8,632.21,4198.13,3477.66,-245.08,4486.68,3406.74,1266.29,4314.33,3231.91
0,27,1323.01,384.6,1323.01,384.6,1343.38,383.71,1343.38,383.71,319.06,686.42,2114.16,553.67,1355.18,443.72,1355.18,443.72,1376.92,445.13,1376.92,445.13,304.67,627.9,2191.35,718.93,625.93,4198.58,3464.21,-245.63,4486.75,3406.41,1266.57,4314.22,3233.08
0,28,1321.86,384.75,1321.86,384.75,1342.44,383.66,1342.44,383.66,319.11,686.35,2114.08,553.73,1354.44,443.64,1354.44,443.64,1376.13,445.11,1376.13,445.11,304.18,627.85,2191.35,718.75,625.41,4198.64,3465.37,-245.83,4486.63,3404.9,1266.66,4314.28,3233.35
0,29,1320.94,384.79,1320.94,384.79,1341.55,383.53,1341.55,383.53,319.2,686.22,2113.94,553.8,1363.0,437.0,1363.0,437.0,1375.25,445.04,1375.25,445.04,304.02,627.95,2191.24,718.5,630.46,4198.1,3480.05,-245.88,4486.49,3404.18,1266.62,4314.35,3233.49
0,30,1320.2,384.78,1320.2,384.78,1340.58,383.53,1340.58,383.53,318.96,686.04,2113.98,553.62,1353.28,443.48,1353.28,443.48,1374.39,445.14,1374.39,445.14,303.22,628.41,2191.22,718.52,624.33,4198.63,3466.85,-246.32,4486.28,3402.59,1266.55,4314.18,3233.33
0,31,1319.36,384.83,1319.36,384.83,1339.83,383.5,1339.83,383.5,319.55,685.91,2114.14,553.49,1362.0,437.0,1362.0,437.0,1373.36,445.08,1373.36,445.08,303.58,628.66,2191.42,718.24,629.35,4198.15,3481.21,-245.96,4486.14,3401.98,1266.72,4314.06,3233.36
0,32,1318.62,384.81,1318.62,384.81,1338.95,383.39,1338.95,383.39,320.02,686.27,2114.01,553.31,1361.0,437.0,1361.0,437.0,1372.41,445.02,1372.41,445.02,303.15,629.13,2191.59,718.59,628.46,4198.14,3480.94,-245.98,4486.3,3399.52,1267.08,4313.92,3234.15
0,33,1317.73,384.94,1317.73,384.94,1338.08,383.45,1338.08,383.45,319.43,686.45,2113.99,553.24,1351.36,443.37,1351.36,443.37,1371.49,444.92,1371.49,444.92,303.0,629.17,2191.73,718.48,622.37,4198.77,3467.83,-246.23,4486.51,3400.69,1267.33,4313.86,3234.58
0,34,1316.76,384.89,1316.76,384.89,1337.17,383.35,1337.17,383.35,319.83,686.61,2113.9,553.0,1350.68,443.27,1350.68,443.27,1370.61,444.77,1370.61,444.77,303.37,629.3,2191.11,718.33,621.78,4198.72,3468.61,-245.93,4486.62,3400.65,1266.43,4313.66,3233.3
0,35,1315.91,384.96,1315.91,384.96,1336.24,383.47,1336.24,383.47,319.54,686.53,2114.11,552.94,1350.16,443.22,1350.16,443.22,1369.43,444.48,1369.43,444.48,303.17,629.88,2191.61,718.13,621.1,4198.83,3469.0,-246.11,4486.57,3400.88,1267.01,4313.59,3233.89
0,36,1314.93,384.89,1314.93,384.89,1335.46,383.45,1335.46,383.45,319.56,687.0,2113.86,552.51,1349.49,443.15,1349.49,443.15,1368.53,444.35,1368.53,444.35,302.89,630.39,2191.38,718.17,620.48,4198.82,3469.55,-246.21,4486.9,3400.01,1266.86,4313.23,3234.06
0,37,1314.18,384.81,1314.18,384.81,1334.37,383.47,1334.37,383.47,319.79,686.52,2113.65,552.27,1349.01,443.0,1349.01,443.0,1367.52,444.02,1367.52,444.02,302.76,630.7,2191.84,717.65,619.93,4198.81,3470.37,-246.21,4486.48,3399.05,1267.78,4313.02,3235.86
0,38,1313.3,384.82,1313.3,384.82,1333.4,383.46,1333.4,383.46,319.75,686.76,2113.63,552.1,1348.36,442.96,1348.36,442.96,1366.49,443.99,1366.49,443.99,301.98,630.83,2191.82,717.68,619.27,4198.84,3470.92,-246.55,4486.57,3396.94,1267.78,4312.88,3235.9
0,39,1312.14,384.9,1312.14,384.9,1332.54,383.46,1332.54,383.46,319.19,687.17,2113.37,551.94,1347.7,442.97,1347.7,442.97,1365.55,443.79,1365.55,443.79,301.71,631.62,2191.3,717.32,618.69,4198.89,3471.84,-246.84,4486.93,3397.7,1267.2,4312.76,3235.4
0,40,1311.25,385.08,1311.25,385.08,1331.63,383.63,1331.63,383.63,319.25,687.64,2113.47,551.85,1347.35,442.85,1347.35,442.85,1364.49,443.77,1364.49,443.77,301.7,631.54,2191.94,717.45,618.19,4199.06,3472.73,-246.8,4487.29,3397.5,1268.11,4312.66,3236.69
0,41,1310.32,385.03,1310.32,385.03,1330.68,383.57,1330.68,383.57,318.54,687.66,2113.48,551.57,1346.61,442.94,1346.61,442.94,1363.47,443.76,1363.47,443.76,301.88,631.63,2191.44,717.46,617.48,4199.05,3473.18,-246.96,4487.43,3399.93,1267.29,4312.42,3235.38
0,42,1309.4,385.32,1309.4,385.32,1329.82,383.84,1329.82,383.84,318.54,688.33,2113.24,551.6,1345.95,443.01,1345.95,443.01,1362.78,443.88,1362.78,443.88,301.2,631.48,2191.4,717.35,617.02,4199.3,3474.11,-247.23,4487.86,3398.02,1267.47,4312.46,3236.05
0,43,1308.66,385.35,1308.66,385.35,1328.98,383.96,1328.98,383.96,318.82,687.99,2113.07,551.58,1345.38,442.96,1345.38,442.96,1361.74,443.91,1361.74,443.91,301.21,631.59,2191.69,717.48,616.35,4199.41,3474.31,-247.15,4487.56,3397.26,1268.08,4312.45,3237.28
0,44,1307.76,385.41,1307.76,385.41,1328.09,384.1,1328.09,384.1,319.1,688.53,2113.39,551.76,1344.61,442.93,1344.61,442.93,1360.89,443.79,1360.89,443.79,300.99,631.99,2191.69,717.4,615.72,4199.52,3474.85,-247.12,4487.91,3395.88,1267.77,4312.59,3236.29
0,45,1306.99,385.45,1306.99,385.45,1327.19,384.18,1327.19,384.18,318.81,688.46,2113.38,551.63,1343.85,442.91,1343.85,442.91,1359.91,443.76,1359.91,443.76,300.93,631.87,2191.73,717.2,614.98,4199.62,3474.98,-247.25,4487.89,3396.51,1267.85,4312.48,3236.43
0,46,1306.19,385.47,1306.19,385.47,1326.33,384.25,1326.33,384.25,318.61,688.36,2113.35,551.6,1343.0,442.86,1343.0,442.86,1359.12,443.78,1359.12,443.78,300.89,632.26,2191.49,717.44,614.31,4199.69,3475.26,-247.34,4487.83,3396.94,1267.5,4312.45,3235.92
0,47,1305.29,385.54,1305.29,385.54,1325.48,384.28,1325.48,384.28,318.35,688.36,2113.39,551.65,1342.24,442.81,1342.24,442.81,1358.12,443.77,1358.12,443.77,300.78,632.13,2191.74,717.04,613.57,4199.77,3475.5,-247.47,4487.86,3397.34,1267.87,4312.49,3236.45
0,48,1304.35,385.54,1304.35,385.54,1324.56,384.32,1324.56,384.32,318.89,688.41,2113.22,551.44,1341.27,442.79,1341.27,442.79,1357.23,443.77,1357.23,443.77,300.72,631.9,2191.94,717.26,612.81,4199.83,3475.8,-247.32,4487.81,3395.72,1268.32,4312.31,3237.43
0,49,1303.56,385.62,1303.56,385.62,1323.76,384.45,1323.76,384.45,319.08,688.22,2113.53,551.72,1340.37,442.74,1340.37,442.74,1356.28,443.62,1356.28,443.62,300.77,632.1,2191.85,717.27,611.99,4199.97,3475.64,-247.24,4487.64,3395.35,1267.9,4312.55,3236.28
0,50,1302.7,385.66,1302.7,385.66,1322.98,384.48,1322.98,384.48,319.03,688.32,2113.43,551.48,1339.32,442.75,1339.32,442.75,1355.3,443.55,1355.3,443.55,300.74,632.05,2191.85,717.36,611.08,4200.05,3475.3,-247.27,4487.73,3395.38,1267.99,4312.34,3236.59
0,51,1301.88,385.64,1301.88,385.64,1322.11,384.39,1322.11,384.39,318.9,688.18,2113.3,551.75,1338.4,442.65,1338.4,442.65,1354.29,443.48,1354.29,443.48,300.83,632.05,2191.87,717.41,610.23,4200.05,3475.18,-247.27,4487.64,3396.0,1268.15,4312.58,3237.02
0,52,1301.12,385.59,1301.12,385.59,1321.3,384.45,1321.3,384.45,319.05,687.41,2113.53,551.72,1337.56,442.62,1337.56,442.62,1353.42,443.28,1353.42,443.28,300.71,631.89,2191.86,717.35,609.49,4200.1,3475.2,-247.31,4487.0,3395.28,1267.92,4312.55,3236.31
0,53,1300.26,385.69,1300.26,385.69,1320.44,384.46,1320.44,384.46,318.77,687.86,2113.54,551.75,1336.73,442.58,1336.73,442.58,1352.52,443.33,1352.52,443.33,300.72,632.12,2191.84,717.44,608.78,4200.18,3475.47,-247.38,4487.4,3396.05,1267.88,4312.57,3236.23
